epochs,octoFlash (r),octoFlash (w),octoFlash (r+w),octoFlash (r cycles),octoFlash (w cycles),octoFlash (cycles),hyperRAM (r),hyperRAM (w),hyperRAM (r+w),hyperRAM (r cycles),hyperRAM (w cycles),hyperRAM (cycles),npuRAM6 (r),npuRAM6 (w),npuRAM6 (r+w),npuRAM6 (r cycles),npuRAM6 (w cycles),npuRAM6 (cycles),cpuRAM2 (r),cpuRAM2 (w),cpuRAM2 (r+w),cpuRAM2 (r cycles),cpuRAM2 (w cycles),cpuRAM2 (cycles),flexMEM (r),flexMEM (w),flexMEM (r+w),flexMEM (r cycles),flexMEM (w cycles),flexMEM (cycles),cpuRAM1 (r),cpuRAM1 (w),cpuRAM1 (r+w),cpuRAM1 (r cycles),cpuRAM1 (w cycles),cpuRAM1 (cycles),bus port 1 (r),bus port 1 (w),bus port 0 (r),bus port 0 (w),epoch OPS,epoch OPS vs total %,epoch compute (cyles),epoch compute (cyles) vs Tot %,max (cycles),max (cycles) vs Tot %,epoch average ATON power (mW),epoch average ATON power vs Tot %,epoch average memory power (mW),epoch average memory power vs Tot %
77 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
78 ,3072,0,3072,18432,0,18432,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,105472,0,2560000,0.00058263,102400,0.00263058,102400,0.00111434,24.4417,0.00150596,15.299,0.000482719
79 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884736,0,819200,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
80 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
81 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
82 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
83 ,3072,0,3072,18432,0,18432,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,3072,102400,2560000,0.00058263,102400,0.00263058,102400,0.00111434,24.4417,0.00150596,15.299,0.000482719
84 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884736,0,819200,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
85 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
86 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,16000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,102400,0.00263058,102400,0.00111434,5.2739,0.000324947,8.699,0.000274473
87 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0,0,102400,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
88 ,3072,0,3072,18432,0,18432,0,0,0,0,0,0,102400,102400,204800,32000,32000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105472,0,0,102400,2560000,0.00058263,102400,0.00263058,102400,0.00111434,24.4417,0.00150596,15.299,0.000482719
89 ,65536,0,65536,131070,0,131070,0,0,0,0,0,0,1638400,102400,1740800,57152,16000,73152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884736,0,819200,102400,52531200,0.0119556,273067,0.0070149,393216,0.00427905,44.1932,0.00726115,82.7892,0.00696585
90 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,128000,16000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
91 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,256,102656,16000,40,16040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,102400,0,0,0,102400,0.00263058,102400,0.00111434,10.7653,0.000663294,4.76137,0.000150232
92 ,8192,0,8192,16380,0,16380,0,0,0,0,0,0,512,32,544,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,32,512,0,16416,3.73612e-06,2731,7.01575e-05,49152,0.000534882,74.7404,0.000122817,660.856,0.000556109
93 ,8192,0,8192,16380,0,16380,0,0,0,0,0,0,512,256,768,26,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,8192,256,16640,3.7871e-06,2731,7.01575e-05,49152,0.000534882,75.88,0.000124689,661.18,0.000556382
94 ,0,0,0,0,0,0,0,0,0,0,0,0,409600,102400,512000,64000,16000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307200,0,102400,102400,204800,4.66104e-05,102400,0.00263058,102400,0.00111434,16.4882,0.00101591,22.9535,0.000724236
95 ,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,204800,16000,128000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,0,0,0,128000,0.00139292,0,0.000923809,0,0.000274473
96 ,70656,0,70656,161790,0,161790,0,0,0,0,0,0,1740800,204800,1945600,95552,48000,143552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921600,102400,889856,102400,56729600,0.0129111,273067,0.0070149,423936,0.00461335,55.2088,0.00907107,90.1763,0.0075874
